gene_symbol	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
WDR34	cerebral-cortex	glial-cells	Medium	Approved
SET	cerebral-cortex	glial-cells	Medium	Supported
PTPA	cerebral-cortex	glial-cells	Medium	Approved
GLE1	cerebral-cortex	glial-cells	Medium	Supported
RAB14	cerebral-cortex	glial-cells	Low	Approved
CNTRL	cerebral-cortex	glial-cells	Low	Approved
TRIM32	cerebral-cortex	glial-cells	Medium	Approved
NDUFA8	cerebral-cortex	glial-cells	Medium	Enhanced
HSDL2	cerebral-cortex	glial-cells	Medium	Enhanced
MAPKAP1	cerebral-cortex	glial-cells	Low	Supported
KDSR	cerebral-cortex	glial-cells	Medium	Approved
FCF1	cerebral-cortex	glial-cells	Medium	Approved
NEK9	cerebral-cortex	glial-cells	Low	Approved
ACYP1	cerebral-cortex	glial-cells	Low	Approved
DNAL1	cerebral-cortex	glial-cells	Medium	Approved
IRF2BPL	cerebral-cortex	glial-cells	Medium	Approved
FLVCR2	cerebral-cortex	glial-cells	Low	Enhanced
DLST	cerebral-cortex	glial-cells	Low	Supported
PPP4R4	cerebral-cortex	glial-cells	Medium	Approved
RBM25	cerebral-cortex	glial-cells	Medium	Supported
ALDH6A1	cerebral-cortex	glial-cells	High	Enhanced
EIF2B2	cerebral-cortex	glial-cells	High	Enhanced
DNMT3A	cerebral-cortex	glial-cells	Medium	Approved
YPEL5	cerebral-cortex	glial-cells	Low	Approved
YIPF4	cerebral-cortex	glial-cells	Low	Supported
CRIPT	cerebral-cortex	glial-cells	High	Approved
SLF2	cerebral-cortex	glial-cells	Low	Approved
CUTC	cerebral-cortex	glial-cells	Medium	Enhanced
CNNM1	cerebral-cortex	glial-cells	Low	Approved
MXI1	cerebral-cortex	glial-cells	Low	Approved
TCTN3	cerebral-cortex	glial-cells	Low	Approved
AVPI1	cerebral-cortex	glial-cells	Low	Approved
C10orf76	cerebral-cortex	glial-cells	Medium	Approved
GOT1	cerebral-cortex	glial-cells	Low	Enhanced
HOXB3	cerebral-cortex	glial-cells	High	Approved
NUP43	cerebral-cortex	glial-cells	Medium	Enhanced
MTHFD1L	cerebral-cortex	glial-cells	Low	Approved
PLEKHG1	cerebral-cortex	glial-cells	Medium	Approved
GORAB	cerebral-cortex	glial-cells	Medium	Approved
ACAT2	cerebral-cortex	glial-cells	Medium	Enhanced
TCP1	cerebral-cortex	glial-cells	Low	Approved
MSANTD2	cerebral-cortex	glial-cells	Medium	Approved
ENY2	cerebral-cortex	glial-cells	Medium	Approved
PLXDC2	cerebral-cortex	glial-cells	Medium	Approved
CCDC77	cerebral-cortex	glial-cells	Medium	Approved
TAF12	cerebral-cortex	glial-cells	Medium	Approved
UFM1	cerebral-cortex	glial-cells	Medium	Approved
WBP4	cerebral-cortex	glial-cells	High	Approved
FAM53C	cerebral-cortex	glial-cells	High	Approved
SIL1	cerebral-cortex	glial-cells	Low	Enhanced
PAIP2	cerebral-cortex	glial-cells	Medium	Approved
KDM3B	cerebral-cortex	glial-cells	High	Supported
EGR1	cerebral-cortex	glial-cells	Low	Supported
NR2C1	cerebral-cortex	glial-cells	Medium	Supported
TMPO	cerebral-cortex	glial-cells	Medium	Enhanced
ARL1	cerebral-cortex	glial-cells	Medium	Approved
GLT8D2	cerebral-cortex	glial-cells	Low	Approved
SOCS2	cerebral-cortex	glial-cells	Medium	Approved
NFYB	cerebral-cortex	glial-cells	High	Supported
APAF1	cerebral-cortex	glial-cells	Low	Enhanced
TNFRSF10B	cerebral-cortex	glial-cells	Low	Approved
ADRA1A	cerebral-cortex	glial-cells	Medium	Approved
EPHX2	cerebral-cortex	glial-cells	Low	Approved
TARDBP	cerebral-cortex	glial-cells	High	Supported
COPS5	cerebral-cortex	glial-cells	High	Supported
AKAP1	cerebral-cortex	glial-cells	High	Supported
TBX2	cerebral-cortex	glial-cells	Medium	Approved
FAM117A	cerebral-cortex	glial-cells	Medium	Approved
ABCC11	cerebral-cortex	glial-cells	Low	Approved
TSHZ3	cerebral-cortex	glial-cells	High	Approved
PSPC1	cerebral-cortex	glial-cells	Medium	Supported
ZSCAN18	cerebral-cortex	glial-cells	High	Supported
ZNF211	cerebral-cortex	glial-cells	Medium	Approved
PDZRN3	cerebral-cortex	glial-cells	Medium	Approved
KIF18A	cerebral-cortex	glial-cells	Medium	Approved
CRY2	cerebral-cortex	glial-cells	High	Supported
PILRB	cerebral-cortex	glial-cells	Low	Approved
ZMYM2	cerebral-cortex	glial-cells	Low	Approved
TBC1D15	cerebral-cortex	glial-cells	High	Supported
ZCCHC17	cerebral-cortex	glial-cells	High	Approved
KHDRBS1	cerebral-cortex	glial-cells	High	Supported
TMEM39B	cerebral-cortex	glial-cells	Medium	Approved
CCRL2	cerebral-cortex	glial-cells	Low	Approved
SLITRK3	cerebral-cortex	glial-cells	Medium	Enhanced
PIK3CA	cerebral-cortex	glial-cells	Low	Approved
PDS5A	cerebral-cortex	glial-cells	Medium	Enhanced
CLCC1	cerebral-cortex	glial-cells	Medium	Enhanced
ACVR2A	cerebral-cortex	glial-cells	Low	Approved
RPL21	cerebral-cortex	glial-cells	Low	Approved
MTIF3	cerebral-cortex	glial-cells	Medium	Approved
GTF3A	cerebral-cortex	glial-cells	Medium	Supported
RASL11A	cerebral-cortex	glial-cells	High	Supported
SASH3	cerebral-cortex	glial-cells	Low	Enhanced
OCRL	cerebral-cortex	glial-cells	Medium	Approved
COPA	cerebral-cortex	glial-cells	Low	Supported
HS3ST2	cerebral-cortex	glial-cells	Low	Approved
SERAC1	cerebral-cortex	glial-cells	Low	Enhanced
ANXA11	cerebral-cortex	glial-cells	Low	Supported
FAM213A	cerebral-cortex	glial-cells	Low	Approved
NAA60	cerebral-cortex	glial-cells	Low	Approved
TRMT13	cerebral-cortex	glial-cells	Low	Approved
RPAP2	cerebral-cortex	glial-cells	Low	Approved
PMS2	cerebral-cortex	glial-cells	Medium	Approved
ZMIZ2	cerebral-cortex	glial-cells	Medium	Supported
SEPT7	cerebral-cortex	glial-cells	Medium	Enhanced
HERPUD2	cerebral-cortex	glial-cells	Medium	Approved
HNRNPA2B1	cerebral-cortex	glial-cells	Medium	Supported
FKBP9	cerebral-cortex	glial-cells	Medium	Approved
SMU1	cerebral-cortex	glial-cells	Medium	Supported
GLIPR2	cerebral-cortex	glial-cells	Low	Approved
RECK	cerebral-cortex	glial-cells	Low	Supported
ACO1	cerebral-cortex	glial-cells	Low	Enhanced
PHF24	cerebral-cortex	glial-cells	Medium	Approved
CNTFR	cerebral-cortex	glial-cells	Low	Approved
C7orf49	cerebral-cortex	glial-cells	Medium	Approved
P4HA1	cerebral-cortex	glial-cells	Medium	Enhanced
VPS26A	cerebral-cortex	glial-cells	Low	Supported
RBM19	cerebral-cortex	glial-cells	Low	Supported
ACADS	cerebral-cortex	glial-cells	Low	Enhanced
CDKN2C	cerebral-cortex	glial-cells	Low	Approved
CCDC91	cerebral-cortex	glial-cells	Medium	Approved
NECAB1	cerebral-cortex	glial-cells	Medium	Enhanced
WWP1	cerebral-cortex	glial-cells	Medium	Approved
ACOT9	cerebral-cortex	glial-cells	Low	Supported
PRDX4	cerebral-cortex	glial-cells	Low	Enhanced
PKN1	cerebral-cortex	glial-cells	Low	Approved
GIPC1	cerebral-cortex	glial-cells	Low	Approved
SPRYD7	cerebral-cortex	glial-cells	Low	Approved
OPTN	cerebral-cortex	glial-cells	Medium	Approved
ITIH5	cerebral-cortex	glial-cells	Medium	Approved
ATF1	cerebral-cortex	glial-cells	Medium	Supported
NCKAP1L	cerebral-cortex	glial-cells	Low	Approved
PDE1B	cerebral-cortex	glial-cells	Medium	Enhanced
LRP1	cerebral-cortex	glial-cells	Low	Supported
TUBA1B	cerebral-cortex	glial-cells	Medium	Enhanced
SARDH	cerebral-cortex	glial-cells	Low	Approved
ATPAF1	cerebral-cortex	glial-cells	Low	Approved
PLP1	cerebral-cortex	glial-cells	Medium	Enhanced
MORF4L2	cerebral-cortex	glial-cells	High	Supported
RAB9A	cerebral-cortex	glial-cells	Medium	Supported
NMI	cerebral-cortex	glial-cells	Low	Approved
ACVR1C	cerebral-cortex	glial-cells	Medium	Approved
KCNJ2	cerebral-cortex	glial-cells	Low	Approved
EXOSC9	cerebral-cortex	glial-cells	Medium	Approved
B9D2	cerebral-cortex	glial-cells	Low	Enhanced
COQ8B	cerebral-cortex	glial-cells	Low	Supported
AGO2	cerebral-cortex	glial-cells	High	Approved
CKS2	cerebral-cortex	glial-cells	High	Approved
ACSL3	cerebral-cortex	glial-cells	Low	Approved
CHPF	cerebral-cortex	glial-cells	Low	Approved
DNPEP	cerebral-cortex	glial-cells	High	Enhanced
FAM210B	cerebral-cortex	glial-cells	Low	Approved
SDC4	cerebral-cortex	glial-cells	Medium	Enhanced
NCOA3	cerebral-cortex	glial-cells	Low	Supported
VAPB	cerebral-cortex	glial-cells	Medium	Supported
PLCG1	cerebral-cortex	glial-cells	Low	Approved
SRSF6	cerebral-cortex	glial-cells	High	Supported
GDAP1L1	cerebral-cortex	glial-cells	Low	Approved
ARFGEF2	cerebral-cortex	glial-cells	Medium	Supported
RAB22A	cerebral-cortex	glial-cells	High	Approved
STAU1	cerebral-cortex	glial-cells	Low	Approved
SNAI1	cerebral-cortex	glial-cells	High	Supported
VAMP7	cerebral-cortex	glial-cells	Medium	Approved
SNRNP27	cerebral-cortex	glial-cells	Medium	Approved
MPHOSPH10	cerebral-cortex	glial-cells	Medium	Enhanced
USP22	cerebral-cortex	glial-cells	Medium	Supported
HIF3A	cerebral-cortex	glial-cells	Medium	Approved
TRERF1	cerebral-cortex	glial-cells	Low	Enhanced
SIRT5	cerebral-cortex	glial-cells	Low	Approved
WRNIP1	cerebral-cortex	glial-cells	Medium	Enhanced
SNRPC	cerebral-cortex	glial-cells	High	Supported
SERPINB6	cerebral-cortex	glial-cells	Medium	Enhanced
ABCC10	cerebral-cortex	glial-cells	Low	Approved
HIST1H1D	cerebral-cortex	glial-cells	Medium	Supported
PEX6	cerebral-cortex	glial-cells	Medium	Supported
AARS2	cerebral-cortex	glial-cells	Low	Approved
RPS10	cerebral-cortex	glial-cells	Medium	Approved
HIST1H2BJ	cerebral-cortex	glial-cells	High	Supported
SOX4	cerebral-cortex	glial-cells	Medium	Approved
GLO1	cerebral-cortex	glial-cells	Medium	Enhanced
CPNE5	cerebral-cortex	glial-cells	Medium	Enhanced
SSR1	cerebral-cortex	glial-cells	Low	Enhanced
SLC35B3	cerebral-cortex	glial-cells	Low	Approved
ATXN1	cerebral-cortex	glial-cells	Medium	Approved
NUP153	cerebral-cortex	glial-cells	High	Supported
DEK	cerebral-cortex	glial-cells	Medium	Supported
EEF1E1	cerebral-cortex	glial-cells	Medium	Approved
EMC3	cerebral-cortex	glial-cells	Medium	Approved
CNOT1	cerebral-cortex	glial-cells	Medium	Approved
GOT2	cerebral-cortex	glial-cells	Low	Enhanced
CLYBL	cerebral-cortex	glial-cells	Medium	Enhanced
TM9SF2	cerebral-cortex	glial-cells	Low	Supported
RNF113A	cerebral-cortex	glial-cells	Low	Approved
ATP5S	cerebral-cortex	glial-cells	Low	Approved
SOX9	cerebral-cortex	glial-cells	High	Enhanced
MRPS7	cerebral-cortex	glial-cells	Medium	Supported
GGA3	cerebral-cortex	glial-cells	Low	Approved
NT5C	cerebral-cortex	glial-cells	Medium	Approved
MSTO1	cerebral-cortex	glial-cells	Medium	Approved
TTF1	cerebral-cortex	glial-cells	Low	Supported
BARHL1	cerebral-cortex	glial-cells	Medium	Enhanced
GTF2F1	cerebral-cortex	glial-cells	Low	Supported
CLPP	cerebral-cortex	glial-cells	Low	Supported
THOC2	cerebral-cortex	glial-cells	High	Supported
RPL23	cerebral-cortex	glial-cells	Low	Approved
ATG4C	cerebral-cortex	glial-cells	Low	Approved
SNRPD2	cerebral-cortex	glial-cells	High	Supported
EML2	cerebral-cortex	glial-cells	Low	Approved
VASP	cerebral-cortex	glial-cells	Medium	Enhanced
SYMPK	cerebral-cortex	glial-cells	Low	Approved
NAPB	cerebral-cortex	glial-cells	Medium	Supported
CENPB	cerebral-cortex	glial-cells	Low	Approved
PSMF1	cerebral-cortex	glial-cells	Low	Approved
NKX2-2	cerebral-cortex	glial-cells	Medium	Approved
TMX4	cerebral-cortex	glial-cells	High	Enhanced
SNRPB	cerebral-cortex	glial-cells	Medium	Approved
NRSN2	cerebral-cortex	glial-cells	Low	Approved
RRBP1	cerebral-cortex	glial-cells	High	Enhanced
ZNF133	cerebral-cortex	glial-cells	Low	Supported
FLRT3	cerebral-cortex	glial-cells	Low	Enhanced
MKKS	cerebral-cortex	glial-cells	High	Enhanced
DSTN	cerebral-cortex	glial-cells	Low	Approved
SNRPB2	cerebral-cortex	glial-cells	High	Supported
TBC1D20	cerebral-cortex	glial-cells	Medium	Approved
ITPA	cerebral-cortex	glial-cells	Low	Approved
MRPS26	cerebral-cortex	glial-cells	Medium	Supported
HNRNPR	cerebral-cortex	glial-cells	High	Supported
ZNF436	cerebral-cortex	glial-cells	Medium	Approved
ID1	cerebral-cortex	glial-cells	Low	Approved
RALY	cerebral-cortex	glial-cells	High	Enhanced
DYNLRB1	cerebral-cortex	glial-cells	Medium	Approved
EIF2S2	cerebral-cortex	glial-cells	Medium	Approved
ERGIC3	cerebral-cortex	glial-cells	Low	Approved
TMEM115	cerebral-cortex	glial-cells	Low	Supported
PSMB2	cerebral-cortex	glial-cells	Low	Approved
TMEM53	cerebral-cortex	glial-cells	Low	Approved
CAPNS1	cerebral-cortex	glial-cells	High	Approved
RBM42	cerebral-cortex	glial-cells	High	Supported
UBA2	cerebral-cortex	glial-cells	High	Supported
COX6B1	cerebral-cortex	glial-cells	Low	Supported
THRA	cerebral-cortex	glial-cells	Low	Approved
FRMD8	cerebral-cortex	glial-cells	Medium	Approved
IRF3	cerebral-cortex	glial-cells	Low	Approved
SCAF1	cerebral-cortex	glial-cells	High	Approved
PRR12	cerebral-cortex	glial-cells	Low	Approved
SBDS	cerebral-cortex	glial-cells	Medium	Approved
WNK4	cerebral-cortex	glial-cells	Low	Approved
BECN1	cerebral-cortex	glial-cells	Low	Supported
TRAP1	cerebral-cortex	glial-cells	High	Enhanced
NSRP1	cerebral-cortex	glial-cells	High	Enhanced
AHDC1	cerebral-cortex	glial-cells	Low	Approved
IFI6	cerebral-cortex	glial-cells	Low	Approved
ZNF384	cerebral-cortex	glial-cells	Medium	Supported
UXT	cerebral-cortex	glial-cells	Medium	Approved
TIMM17B	cerebral-cortex	glial-cells	Low	Approved
KTN1	cerebral-cortex	glial-cells	High	Enhanced
L3HYPDH	cerebral-cortex	glial-cells	Low	Approved
ZBTB1	cerebral-cortex	glial-cells	Low	Approved
PLEKHG3	cerebral-cortex	glial-cells	High	Enhanced
RHOT1	cerebral-cortex	glial-cells	Medium	Supported
OMG	cerebral-cortex	glial-cells	High	Enhanced
HNRNPH2	cerebral-cortex	glial-cells	High	Supported
CANX	cerebral-cortex	glial-cells	High	Enhanced
INTS11	cerebral-cortex	glial-cells	Medium	Approved
FGD3	cerebral-cortex	glial-cells	Low	Approved
HIVEP3	cerebral-cortex	glial-cells	Medium	Approved
PPCS	cerebral-cortex	glial-cells	Low	Approved
COX7C	cerebral-cortex	glial-cells	Low	Approved
BEST3	cerebral-cortex	glial-cells	Low	Approved
DYRK2	cerebral-cortex	glial-cells	Low	Approved
LRRC61	cerebral-cortex	glial-cells	High	Approved
TMEM175	cerebral-cortex	glial-cells	Medium	Approved
EMC1	cerebral-cortex	glial-cells	Medium	Approved
PLA2G5	cerebral-cortex	glial-cells	Low	Approved
HP1BP3	cerebral-cortex	glial-cells	High	Supported
KLF2	cerebral-cortex	glial-cells	High	Approved
GFER	cerebral-cortex	glial-cells	Medium	Approved
MACF1	cerebral-cortex	glial-cells	Medium	Approved
SMARCA4	cerebral-cortex	glial-cells	High	Supported
TUBA4A	cerebral-cortex	glial-cells	Medium	Approved
AAMP	cerebral-cortex	glial-cells	Medium	Approved
ECHS1	cerebral-cortex	glial-cells	High	Enhanced
AKAP9	cerebral-cortex	glial-cells	Medium	Supported
HIP1	cerebral-cortex	glial-cells	High	Enhanced
PTPN12	cerebral-cortex	glial-cells	High	Approved
POR	cerebral-cortex	glial-cells	Medium	Enhanced
ZFP36	cerebral-cortex	glial-cells	Low	Approved
PPAT	cerebral-cortex	glial-cells	Medium	Approved
TUBGCP6	cerebral-cortex	glial-cells	Low	Approved
SDF2L1	cerebral-cortex	glial-cells	Low	Approved
GNAZ	cerebral-cortex	glial-cells	Low	Enhanced
ATF4	cerebral-cortex	glial-cells	Medium	Approved
TPST2	cerebral-cortex	glial-cells	Low	Enhanced
BAIAP2L2	cerebral-cortex	glial-cells	Low	Approved
MPST	cerebral-cortex	glial-cells	Low	Enhanced
TST	cerebral-cortex	glial-cells	Low	Enhanced
RAC2	cerebral-cortex	glial-cells	Low	Enhanced
APOBEC3A	cerebral-cortex	glial-cells	Medium	Approved
SPECC1	cerebral-cortex	glial-cells	Low	Enhanced
MKLN1	cerebral-cortex	glial-cells	Low	Approved
DNAJB9	cerebral-cortex	glial-cells	Low	Supported
CALU	cerebral-cortex	glial-cells	High	Supported
SMO	cerebral-cortex	glial-cells	Medium	Approved
NDUFA5	cerebral-cortex	glial-cells	Medium	Supported
MTX2	cerebral-cortex	glial-cells	Low	Approved
PDE11A	cerebral-cortex	glial-cells	Medium	Approved
HERC2	cerebral-cortex	glial-cells	Low	Approved
SNRPN	cerebral-cortex	glial-cells	Low	Approved
EIF2AK4	cerebral-cortex	glial-cells	Medium	Approved
TMOD2	cerebral-cortex	glial-cells	Low	Enhanced
TTBK2	cerebral-cortex	glial-cells	Low	Approved
ALDH1A2	cerebral-cortex	glial-cells	Medium	Approved
IVD	cerebral-cortex	glial-cells	Medium	Enhanced
DUT	cerebral-cortex	glial-cells	Low	Enhanced
CHAC1	cerebral-cortex	glial-cells	Medium	Approved
MBD4	cerebral-cortex	glial-cells	Low	Supported
COPB1	cerebral-cortex	glial-cells	Low	Supported
PSMA1	cerebral-cortex	glial-cells	Medium	Supported
SERGEF	cerebral-cortex	glial-cells	Low	Supported
RPAIN	cerebral-cortex	glial-cells	Medium	Approved
CD68	cerebral-cortex	glial-cells	Low	Enhanced
TXNDC17	cerebral-cortex	glial-cells	Low	Approved
ATP1B2	cerebral-cortex	glial-cells	Medium	Enhanced
FXR2	cerebral-cortex	glial-cells	Medium	Supported
KIF1C	cerebral-cortex	glial-cells	Low	Approved
KRI1	cerebral-cortex	glial-cells	Low	Approved
ILF3	cerebral-cortex	glial-cells	High	Supported
BCL2L2	cerebral-cortex	glial-cells	Medium	Approved
DTD2	cerebral-cortex	glial-cells	Low	Approved
EAPP	cerebral-cortex	glial-cells	Medium	Approved
MIS18BP1	cerebral-cortex	glial-cells	Medium	Approved
REEP5	cerebral-cortex	glial-cells	Low	Approved
ITFG1	cerebral-cortex	glial-cells	Low	Approved
SEC14L1	cerebral-cortex	glial-cells	Medium	Approved
ASH2L	cerebral-cortex	glial-cells	Low	Approved
TTI2	cerebral-cortex	glial-cells	Low	Approved
KLF16	cerebral-cortex	glial-cells	Low	Approved
DOHH	cerebral-cortex	glial-cells	Medium	Approved
SHC2	cerebral-cortex	glial-cells	Low	Approved
SYT5	cerebral-cortex	glial-cells	Low	Enhanced
CBFA2T3	cerebral-cortex	glial-cells	High	Approved
ERMARD	cerebral-cortex	glial-cells	Medium	Approved
GNL3L	cerebral-cortex	glial-cells	High	Supported
DOCK6	cerebral-cortex	glial-cells	Low	Approved
PRKCSH	cerebral-cortex	glial-cells	Medium	Supported
CDC16	cerebral-cortex	glial-cells	Medium	Approved
APOE	cerebral-cortex	glial-cells	High	Enhanced
TOMM40	cerebral-cortex	glial-cells	Low	Supported
GADD45G	cerebral-cortex	glial-cells	Low	Approved
SAFB2	cerebral-cortex	glial-cells	Medium	Approved
RPL36	cerebral-cortex	glial-cells	High	Supported
GTPBP3	cerebral-cortex	glial-cells	Medium	Approved
BST2	cerebral-cortex	glial-cells	Medium	Enhanced
NSUN5	cerebral-cortex	glial-cells	Low	Approved
DDA1	cerebral-cortex	glial-cells	Medium	Approved
PGLS	cerebral-cortex	glial-cells	Medium	Approved
SNX9	cerebral-cortex	glial-cells	Medium	Approved
RTN4IP1	cerebral-cortex	glial-cells	Low	Approved
QRSL1	cerebral-cortex	glial-cells	Low	Approved
MLLT1	cerebral-cortex	glial-cells	Medium	Approved
AFDN	cerebral-cortex	glial-cells	Low	Approved
ACTN4	cerebral-cortex	glial-cells	Low	Supported
PGPEP1	cerebral-cortex	glial-cells	Low	Approved
JUND	cerebral-cortex	glial-cells	Medium	Supported
UBAC1	cerebral-cortex	glial-cells	Medium	Approved
SAMD10	cerebral-cortex	glial-cells	Low	Approved
ATXN10	cerebral-cortex	glial-cells	Low	Approved
TUBGCP2	cerebral-cortex	glial-cells	Medium	Approved
CALY	cerebral-cortex	glial-cells	Medium	Enhanced
TAF4	cerebral-cortex	glial-cells	High	Supported
ADRM1	cerebral-cortex	glial-cells	Medium	Supported
EXOSC2	cerebral-cortex	glial-cells	High	Approved
UCK1	cerebral-cortex	glial-cells	Low	Approved
CHMP2A	cerebral-cortex	glial-cells	Low	Enhanced
TRIM28	cerebral-cortex	glial-cells	High	Supported
YIPF2	cerebral-cortex	glial-cells	Low	Approved
ZC3H4	cerebral-cortex	glial-cells	Low	Supported
MAP3K10	cerebral-cortex	glial-cells	Low	Approved
LRRC47	cerebral-cortex	glial-cells	High	Enhanced
ATP5IF1	cerebral-cortex	glial-cells	Low	Supported
CLIP1	cerebral-cortex	glial-cells	Low	Approved
HIP1R	cerebral-cortex	glial-cells	Low	Enhanced
PPAN	cerebral-cortex	glial-cells	Low	Approved
EIF3G	cerebral-cortex	glial-cells	Medium	Approved
PNCK	cerebral-cortex	glial-cells	Medium	Approved
DKC1	cerebral-cortex	glial-cells	High	Supported
NOL11	cerebral-cortex	glial-cells	Medium	Supported
HABP4	cerebral-cortex	glial-cells	Medium	Enhanced
UBA1	cerebral-cortex	glial-cells	Low	Approved
PPIL4	cerebral-cortex	glial-cells	Low	Approved
SYNE1	cerebral-cortex	glial-cells	Medium	Approved
LATS1	cerebral-cortex	glial-cells	Medium	Approved
RBM39	cerebral-cortex	glial-cells	Medium	Supported
GGT7	cerebral-cortex	glial-cells	Low	Approved
ACSS2	cerebral-cortex	glial-cells	Low	Approved
ARHGEF9	cerebral-cortex	glial-cells	Low	Approved
GFAP	cerebral-cortex	glial-cells	Medium	Enhanced
SH3BGRL	cerebral-cortex	glial-cells	Low	Approved
CAP1	cerebral-cortex	glial-cells	Medium	Approved
PPT1	cerebral-cortex	glial-cells	High	Supported
RLIM	cerebral-cortex	glial-cells	Medium	Approved
MRPS25	cerebral-cortex	glial-cells	Low	Approved
HACL1	cerebral-cortex	glial-cells	Low	Approved
RBSN	cerebral-cortex	glial-cells	Low	Approved
KIF3A	cerebral-cortex	glial-cells	Medium	Approved
PSME3	cerebral-cortex	glial-cells	High	Supported
RPL27	cerebral-cortex	glial-cells	High	Approved
ACLY	cerebral-cortex	glial-cells	Low	Enhanced
ANKHD1	cerebral-cortex	glial-cells	Medium	Approved
DIAPH1	cerebral-cortex	glial-cells	Low	Approved
NDFIP1	cerebral-cortex	glial-cells	Low	Approved
EXOC4	cerebral-cortex	glial-cells	Low	Approved
C1orf159	cerebral-cortex	glial-cells	Low	Approved
MAP1B	cerebral-cortex	glial-cells	Low	Enhanced
PPP1R1B	cerebral-cortex	glial-cells	Medium	Approved
CHD1L	cerebral-cortex	glial-cells	Medium	Enhanced
PRKAB2	cerebral-cortex	glial-cells	Low	Approved
PDHA1	cerebral-cortex	glial-cells	Low	Approved
SELENOS	cerebral-cortex	glial-cells	Low	Approved
SNRPA1	cerebral-cortex	glial-cells	Medium	Supported
LLGL1	cerebral-cortex	glial-cells	Low	Enhanced
C19orf12	cerebral-cortex	glial-cells	Low	Approved
PODNL1	cerebral-cortex	glial-cells	Low	Approved
DNAJB1	cerebral-cortex	glial-cells	Medium	Enhanced
FBXW9	cerebral-cortex	glial-cells	Low	Approved
RFX1	cerebral-cortex	glial-cells	Medium	Approved
DHX30	cerebral-cortex	glial-cells	Medium	Supported
RAF1	cerebral-cortex	glial-cells	Low	Approved
PPARG	cerebral-cortex	glial-cells	Low	Approved
NUP210	cerebral-cortex	glial-cells	Medium	Approved
HSD17B7	cerebral-cortex	glial-cells	Low	Approved
TRIM5	cerebral-cortex	glial-cells	Low	Approved
RRP8	cerebral-cortex	glial-cells	Low	Supported
TIMM10B	cerebral-cortex	glial-cells	Low	Approved
PTCD3	cerebral-cortex	glial-cells	Medium	Supported
